year,population,who_need_doctors,revised_need_doctors,retirements,deaths,emigration,total_exits,constrained_gov_seats,constrained_pvt_seats,constrained_pg_seats,constrained_entrants,constrained_active_doctors,constrained_density_per_10k,constrained_active_specialists,status_quo_gov_seats,status_quo_pvt_seats,status_quo_pg_seats,status_quo_entrants,status_quo_active_doctors,status_quo_density_per_10k,status_quo_active_specialists,policy_push_gov_seats,policy_push_pvt_seats,policy_push_pg_seats,policy_push_entrants,policy_push_active_doctors,policy_push_density_per_10k,policy_push_active_specialists
2011,72147000,80264,,443,207,485,1135,,,,3473,63184,8.76,23373,,,,3473,63184,8.76,23373,,,,3473,63184,8.76,23373
2012,72645000,80818,,423,216,505,1144,,,,4183,66223,9.12,25156,,,,4183,66223,9.12,25156,,,,4183,66223,9.12,25156
2013,73142000,81370,,513,225,533,1271,,,,4623,69575,9.51,26914,,,,4623,69575,9.51,26914,,,,4623,69575,9.51,26914
2014,73640000,81924,,597,235,565,1398,,,,5066,73243,9.95,28649,,,,5066,73243,9.95,28649,,,,5066,73243,9.95,28649
2015,74137000,82477,,601,244,602,1448,2655,1010,,5091,76886,10.37,30357,2655,1010,,5091,76886,10.37,30357,2655,1010,,5091,76886,10.37,30357
2016,74635000,83031,,610,253,641,1504,2650,1610,,6494,81876,10.97,32059,2650,1610,,6494,81876,10.97,32059,2650,1610,,6494,81876,10.97,32059
2017,74989000,83425,,582,264,696,1542,3050,1600,,6961,87295,11.64,33754,3050,1600,,6961,87295,11.64,33754,3050,1600,,6961,87295,11.64,33754
2018,75342000,83818,,648,275,754,1678,2900,1600,,7164,92781,12.31,35793,2900,1600,,7164,92781,12.31,35793,2900,1600,,7164,92781,12.31,35793
2019,75695000,84211,,727,285,811,1823,3600,1950,,8767,99726,13.17,37996,3600,1950,,8767,99726,13.17,37996,3600,1950,,8767,99726,13.17,37996
2020,76049000,84605,,706,296,887,1888,3675,2350,,9049,106886,14.05,40273,3675,2350,,9049,106886,14.05,40273,3675,2350,,9049,106886,14.05,40273
2021,76402000,84997,,715,308,965,1988,5175,2900,4100,9326,114224,14.95,44045,5175,2900,4100,9326,114224,14.95,44045,5175,2900,4100,9326,114224,14.95,44045
2022,76631000,85252,,759,321,1046,2125,5175,3350,4283,11654,123752,16.15,49206,5175,3350,4283,11654,123752,16.15,49206,5175,3350,4283,11654,123752,16.15,49206
2023,76860000,85507,,741,335,1153,2229,5200,3850,4435,10992,132516,17.24,53963,5200,3850,4435,10992,132516,17.24,53963,5200,3850,4435,10992,132516,17.24,53963
2024,77089000,85762,,775,349,1249,2373,5200,4050,4630,11149,141292,18.33,56312,5200,4050,4630,11149,141292,18.33,56312,5200,4050,4630,11149,141292,18.33,56312
2025,77317000,86015,151248,782,362,1345,2489,5200,4750,5534,12445,151248,19.56,63790,5200,4750,5534,12445,151248,19.56,63790,5200,4750,5534,12445,151248,19.56,63790
2026,77547457,86272,155832,794,375,1456,2625,5200,5101,5561,12869,161492,20.82,68826,5300,5255,5561,12869,161492,20.82,68826,5400,5298,5561,12869,161492,20.82,68826
2027,77778601,86529,160533,890,391,1573,2855,5200,5504,5882,14983,173620,22.32,73984,5350,5759,5882,14983,173620,22.32,73984,5600,5859,5882,14983,173620,22.32,73984
2028,78010434,86787,165351,827,410,1713,2950,5200,5875,6204,15580,186249,23.87,79919,5450,6248,6204,15580,186249,23.87,79919,5800,6422,6204,15580,186249,23.87,79919
2029,78242958,87045,170290,827,429,1855,3110,5200,6209,6525,15821,198960,25.43,85809,5500,6713,6525,15821,198960,25.43,85809,6000,6978,6525,15821,198960,25.43,85809
2030,78476175,87305,175352,844,450,1993,3288,5200,6503,6847,16086,211758,26.98,91690,5600,7146,6847,16086,211758,26.98,91690,6200,7517,6847,16086,211758,26.98,91690
2031,78710087,87565,180538,854,473,2133,3460,5200,6759,7168,16635,224933,28.58,97796,5700,7544,7168,16635,224933,28.58,97796,6400,8032,7168,16635,224933,28.58,97796
2032,78944697,87826,185852,976,493,2274,3743,5200,6978,7490,17137,238327,30.19,104127,5750,7902,7490,17378,238568,30.22,104127,6600,8514,7490,17514,238704,30.24,104127
2033,79180006,88088,191294,951,519,2421,3892,5200,7163,7811,17690,252129,31.84,110676,5850,8220,7811,18074,252750,31.92,110676,6800,8960,7811,18405,253216,31.98,110676
2034,79416016,88350,196867,924,546,2568,4039,5200,7318,8133,18075,266173,33.52,117445,5900,8499,8133,18666,267377,33.67,117445,7000,9367,8133,19163,268335,33.79,117445
2035,79652729,88614,202574,946,572,2717,4235,5200,7446,8454,18392,280346,35.20,124045,6000,8741,8454,19154,282297,35.44,124045,7200,9733,8454,19880,283967,35.65,124045
2036,79890149,88878,208417,959,597,2865,4421,5200,7552,8776,18671,294621,36.88,130852,6000,8949,8776,19660,297536,37.24,130852,7450,10059,8776,20581,300105,37.56,130852
2037,80128275,89143,214397,1046,626,3017,4689,5200,7639,8987,18914,308882,38.55,137873,6000,9126,9097,20131,312978,39.06,137873,7650,10345,9097,21258,316641,39.52,137873
2038,80367112,89408,220518,1103,659,3160,4922,5200,7709,9036,19121,323134,40.21,145121,6000,9276,9419,20518,328574,40.88,145121,7850,10596,9419,21905,333577,41.51,145121
2039,80606661,89675,226780,1080,694,3302,5076,5200,7766,9076,19297,337424,41.86,152594,6000,9401,9740,20915,344414,42.73,152594,8050,10813,9740,22517,350955,43.54,152594
2040,80846923,89942,233187,1070,733,3444,5247,5200,7812,9109,19443,351710,43.50,159757,6000,9506,10062,21227,360393,44.58,159860,8250,10999,10062,23093,368716,45.61,159860
2041,81087902,90210,239740,1057,774,3574,5405,5200,7850,9135,19565,365981,45.13,166919,6000,9594,10383,21551,376540,46.44,167376,8450,11159,10383,23629,386834,47.71,167376
